Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,call back,перезванивать,,T,0
2022-08-08,calm down,успокаивать,,T,0
2022-08-08,check in,регистрироваться,,T,0
2022-08-08,check out,выселяться,,T,0
2022-08-08,cheer up,приободрять,,T,0
2022-08-08,come across,натыкаться,,T,0
2022-08-08,drop by,заходить,,T,0
2022-08-08,fall apart,разваливаться на части,,T,0
2022-08-08,find out,узнавать,,T,0
2022-08-08,get along with,ладить,,T,0
2022-08-08,get on with,делать успехи,,T,0
2022-08-08,get over,пережить,,T,0
2022-08-08,get up,вставать,,T,0
2022-08-08,give up,сдаваться,,T,0
2022-08-08,hang out,проводить время,,T,0
2022-08-08,look after,присматривать,,T,0
2022-08-08,look for,искать,,T,0
2022-08-08,look forward to,ждать с нетерпением,,T,0
2022-08-08,put off,откладывать,,T,0
2022-08-08,run into,натыкаться,,T,0
2022-08-08,show up,приходить,,T,0
2022-08-08,sit down,садиться,,T,0
2022-08-08,turn down,делать тише,,T,0
2022-08-08,turn up,делать громче,,T,0
2022-08-08,wake up,просыпаться,,T,0
2022-08-08,watch out,быть осторожным,,T,0
2022-08-08,work out,тренироваться,,T,0
2022-08-08,write down,записывать,,T,0
